Territory,Sub_Territory,Account,Store_Name,Address,City,State,ZIP,Monthly_Visit_Freq,Monthly_Visit_Cost
SoPac,SoPac (LA),Bristol Farms,Bristol Farms Mulholland (Woodland Hills) #25246,23379 Mulholland Dr.,Woodland Hills,CA,91364,3,53.25
SoPac,SoPac (LA),Bristol Farms,Bristol Farms Santa Barbra,3855 State St,Santa Barbara,CA,93105,1,17.75
SoPac,SoPac (LA),Bristol Farms,Bristol Farms South Pasadena #25257,606 Fair Oaks Ave.,South Pasadena,CA,91030,3,53.25
SoPac,SoPac (LA),Bristol Farms,Bristol Farms Hollywood #25239,7880 Sunset Blvd.,Los Angeles,CA,90046,3,53.25
SoPac,SoPac (LA),Bristol Farms,Bristol Farms Manhattan Beach #25244,1570 Rosecrans Ave.,Manhattan Beach,CA,90266,3,53.25
SoPac,SoPac (LA),Bristol Farms,Bristol Farms Rolling Hills #25253,837 Silver Spur Rd.,Rolling Hills Estates,CA,90274,3,53.25
SoPac,SoPac (LA),Bristol Farms,Bristol Farms Santa Monica #25255,3105 Wilshire Blvd.,Santa Monica,CA,90403,3,53.25
SoPac,SoPac (LA),Bristol Farms,Bristol Farms West Hollywood #25259,9039 Beverly Blvd.,West Hollywood,CA,90048,3,53.25
SoPac,SoPac (LA),Bristol Farms,Bristol Farms Westchester #25261,8448 Lincoln Blvd.,Westchester,CA,90045,3,53.25
SoPac,SoPac (LA),Bristol Farms,Bristol Farms Westwood #25263,1515 Westwood Blvd.,Los Angeles,CA,90024,3,53.25
SoPac,SoPac (LA),Lazy Acres,Lazy Acres Los Feliz,1841 N Western Ave,Los Angeles,CA,90027,3,53.25
SoPac,SoPac (LA),Lazy Acres,Lazy Acres Natural Market Hermosa Beach,2516 Pacific Coast Highway,Hermosa Beach,CA,90254,3,53.25
SoPac,SoPac (LA),Lazy Acres,Lazy Acres Santa Barbara,302 Meigs Road,Santa Barbara,CA,93109,1,17.75
SoPac,SoPac (LA),WFM,WFM Arroyo #10237,465 S Arroyo Pkwy,Pasadena,CA,91105,3,53.25
SoPac,SoPac (LA),WFM,WFM Beverly Hills #10022,239 N Crescent Dr,Beverly Hills,CA,90210,3,53.25
SoPac,SoPac (LA),WFM,WFM Brentwood #10074,11737 San Vicente Blvd,Los Angeles,CA,90049,3,53.25
SoPac,SoPac (LA),WFM,WFM Burbank #10545,3401 W Olive Ave,Burbank,CA,91505,3,53.25
SoPac,SoPac (LA),WFM,WFM Culver City,3377 La Cienega Blvd,Los Angeles,CA,90016,3,53.25
SoPac,SoPac (LA),WFM,WFM Downtown Los Angeles #10546,788 S Grand Ave,Los Angeles,CA,90017,3,53.25
SoPac,SoPac (LA),WFM,WFM Fairfax #10177,6350 W 3rd St,Los Angeles,CA,90036,3,53.25
SoPac,SoPac (LA),WFM,WFM Glendale #10179,331 N Glendale Ave,Glendale,CA,91206,3,53.25
SoPac,SoPac (LA),WFM,WFM Malibu #10441,23401 Civic Center Way,Malibu,CA,90265,3,53.25
SoPac,SoPac (LA),WFM,WFM Montana Avenue #10398,1425 Montana Ave,Santa Monica,CA,90403,3,53.25
SoPac,SoPac (LA),WFM,WFM Oxnard #10318,650 Town Center Dr,Oxnard,CA,93036,3,53.25
SoPac,SoPac (LA),WFM,WFM Pacific Coast Highway #10225,760 S Sepulveda Blvd,El Segundo,CA,90245,3,53.25
SoPac,SoPac (LA),WFM,WFM Pasadena #10108,3751 E Foothill Blvd,Pasadena,CA,91107,3,53.25
SoPac,SoPac (LA),WFM,WFM Playa Vista #10536,12746 W Jefferson Blvd,Playa Vista,CA,90094,3,53.25
SoPac,SoPac (LA),WFM,WFM Porter Ranch #10695,20209 W Rinaldi St,Porter Ranch,CA,91326,3,53.25
SoPac,SoPac (LA),WFM,WFM Redondo Beach #10024,405 N Pacific Coast Hwy,Redondo Beach,CA,90277,3,53.25
SoPac,SoPac (LA),WFM,WFM Santa Barbara #10255,3761 State St,Santa Barbara,CA,93105,1,17.75
SoPac,SoPac (LA),WFM,WFM Santa Monica #10173,2201 Wilshire Blvd,Santa Monica,CA,90403,3,53.25
SoPac,SoPac (LA),WFM,WFM Santa Monica Pico #10653,2121 Cloverfield Blvd,Santa Monica,CA,90404,3,53.25
SoPac,SoPac (LA),WFM,WFM Sherman Oaks #10671,14311 Ventura Blvd,Sherman Oaks,CA,91423,3,53.25
SoPac,SoPac (LA),WFM,WFM Sherman Oaks East #10020,12905 Riverside Dr,Los Angeles,CA,91423,3,53.25
SoPac,SoPac (LA),WFM,WFM Sherman Oaks West #10038,4520 N Sepulveda Blvd,Sherman Oaks,CA,91403,3,53.25
SoPac,SoPac (LA),WFM,WFM Silver Lake #10658,2520 Glendale Blvd,Los Angeles,CA,90039,3,53.25
SoPac,SoPac (LA),WFM,WFM Thousand Oaks #10204,740 North Moorpark Rd,Thousand Oaks,CA,91360,3,53.25
SoPac,SoPac (LA),WFM,WFM Torrance #10105,2655 Pacific Coast Hwy,Torrance,CA,90505,3,53.25
SoPac,SoPac (LA),WFM,WFM Valencia #10178,24130 Valencia Blvd,Santa Clarita,CA,91355,3,53.25
SoPac,SoPac (LA),WFM,WFM Venice #10333,225 Lincoln Blvd,Venice,CA,90291,3,53.25
SoPac,SoPac (LA),WFM,WFM West Hollywood #10109,7871 Santa Monica Blvd,West Hollywood,CA,90046,3,53.25
SoPac,SoPac (LA),WFM,WFM West Los Angeles #10045,11666 National Blvd,Los Angeles,CA,90064,3,53.25
SoPac,SoPac (LA),WFM,WFM Westwood #10176,1050 S Gayley Ave,Los Angeles,CA,90024,3,53.25
SoPac,SoPac (LA),WFM,WFM Woodland Hills #10099,21347 Ventura Blvd,Woodland Hills,CA,91364,3,53.25
SoPac,SoPac (OC),Bristol Farms,Bristol Farms Yorba Linda #25265,18421 Yorba Linda Blvd.,Yorba Linda,CA,92886,3,53.25
SoPac,SoPac (OC),Bristol Farms,Bristol Farms Newport Beach #25248,810 Avocado Ave.,Newport Beach,CA,92660,3,53.25
SoPac,SoPac (OC),Lazy Acres,Lazy Acres Market Long Beach,2080 N Bellflower Blvd,Long Beach,CA,90815,3,53.25
SoPac,SoPac (OC),WFM,WFM Brea #10594,3301 E Imperial Hwy,Brea,CA,92823,3,53.25
SoPac,SoPac (OC),WFM,WFM Brookhurst #10768,10081 Adams Ave,Huntington Beach,CA,92646,3,53.25
SoPac,SoPac (OC),WFM,WFM Huntington Beach #10399,"7881 Edinger Ave, Suite 150",Huntington Beach,CA,92647,3,53.25
SoPac,SoPac (OC),WFM,WFM Irvine #10614,8525 Irvine Center Dr,Irvine,CA,92618,3,53.25
SoPac,SoPac (OC),WFM,WFM Jamboree #10231,2847 Park Ave,Tustin,CA,92782,3,53.25
SoPac,SoPac (OC),WFM,WFM Laguna Beach #10406,283 Broadway St,Laguna Beach,CA,92651,3,53.25
SoPac,SoPac (OC),WFM,WFM Laguna Niguel #10437,23932 Aliso Creek Rd,Laguna Niguel,CA,92677,3,53.25
SoPac,SoPac (OC),WFM,WFM Long Beach #10701,"6400 E Pacific Coast Hwy, Ste A-100",Long Beach,CA,90803,3,53.25
SoPac,SoPac (OC),WFM,WFM Long Beach Lakewood #10688,3881 N Lakewood Blvd,Long Beach,CA,90846,3,53.25
SoPac,SoPac (OC),WFM,WFM Newport Beach #10468,415 Newport Center Dr,Newport Beach,CA,92660,3,53.25
SoPac,SoPac (OC),WFM,WFM Upland #10676,2153 W Baseline Rd,Upland,CA,91784,3,53.25
SoPac,SoPac (SD),Lazy Acres,Lazy Acres Encinitas,150 Encinitas Blvd,Encinitas,CA,92024,3,53.25
SoPac,SoPac (SD),Lazy Acres,Lazy Acres Mission Hills,422 West Washington Street,San Diego,CA,92103,3,53.25
SoPac,SoPac (SD),WFM,WFM Del Mar #10434,"2600 Via De La Valle, Ste 100",Del Mar,CA,92014,4,71
SoPac,SoPac (SD),WFM,WFM Hillcrest #10072,711 University Ave,San Diego,CA,92103,4,71
SoPac,SoPac (SD),WFM,WFM La Jolla #10066,8825 Villa La Jolla Dr,La Jolla,CA,92037,4,71
