Broker,Banner,WFM_Region,Location_Name,UNFI_DC,Visit_Frequency,Effective_Month
Final Touch,WFM,MW,Park Ridge,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Englewood,"Racine, WI",Weekly,base
Final Touch,WFM,MW,DePaul,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Chicago Edgewater,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Elmhurst,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Green Bay Road,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Streeterville,"Racine, WI",Weekly,base
Final Touch,WFM,MW,West Loop,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Willowbrook,"Iowa City, IA",Weekly,base
Final Touch,WFM,MW,Lakeview,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Wheaton,"Iowa City, IA",Weekly,base
Final Touch,WFM,MW,Vernon Hills,"Racine, WI",Weekly,base
Final Touch,WFM,MW,Evergreen Park,"Racine, WI",Weekly,base
Final Touch,WFM,SO,Mountain Brook,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Mobile,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Huntsville,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Montgomery,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Tallahassee,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Destin,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Sandy Springs,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Ponce de Leon,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,West Paces Ferry,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Duluth,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Merchants Walk,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Avalon,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Savannah,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Kennesaw,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Chamblee,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Midtown Atlanta,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Decatur,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Northside Buckhead,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Jackson,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Chapel Hill,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Raleigh,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Durham,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Winston-Salem,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Cary,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,North Raleigh,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Asheville,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Greensboro-Friendly,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Sharon Road,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Wilmington,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Kenilworth,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Lake Norman,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Waverly,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,West Cary,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Uptown Charlotte,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,South Asheville,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Charleston,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Woodruff,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Cross Hill,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Hilton Head Island,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,West Ashley,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Green Hills,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,McEwen,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Chattanooga,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Knoxville,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Poplar Avenue,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Germantown,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Nashville Downtown,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,SO,Chattanooga East,"Atlanta, GA",Weekly,2026-03
Final Touch,WFM,,Bedford,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,Bellingham,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Newtonville,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,University Heights,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,River Street,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,Framingham,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Charles River Plaza,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Hingham,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,West Hartford,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Swampscott,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,Woburn,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Cranston,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,Portland-Bayside West,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Dedham,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Glastonbury,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Bishops Corner,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Andover,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Medford,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Wellesley,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,Jamaica Plain,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,Lynnfield,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,North Nashua,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,South Weymouth,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Arlington Center,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,Brookline,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Charlestown,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Melrose,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Somerville,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,Hyannis,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,Ink Block,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,Bedford New Hampshire,"Dayville, CT",Weekly,2026-04
Final Touch,WFM,,Beverly,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,,Shrewsbury,"Chesterfield, NH",Weekly,2026-04
Final Touch,WFM,SP,Beverly Hills,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Brea,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Burbank,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Chandler,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Del Mar,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Pacific Coast Hwy,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Flagstaff,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Glendale,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Henderson,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Kahala Mall Oahu,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Queen,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Huntington Beach,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Brookhurst,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Irvine,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Maui Mall Maui,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Kailua Oahu,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Laguna Beach,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Laguna Niguel,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,La Jolla,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Fort Apache,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Las Vegas Blvd,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Tenaya,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Long Beach,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,West Los Angeles,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Brentwood,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,West Hollywood,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Westwood,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Fairfax,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Downtown Los Angeles,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Silver Lake,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Long Beach Lakewood,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Malibu,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Newport Beach,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Oxnard,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Palm Desert,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Paradise Valley,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Pasadena,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Arroyo,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Scottsdale,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Camelback,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Playa Vista,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Porter Ranch,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Redondo Beach,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Hillcrest,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,San Luis Obispo,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Santa Barbara,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Valencia,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Santa Monica,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Montana Avenue,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Pico,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Sedona,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Sherman Oaks West,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Sherman Oaks,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Tarzana,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Tempe,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Thousand Oaks,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Torrance,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Speedway,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Oracle,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,River Road,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Jamboree,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Upland TI,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Venice,"Moreno Valley, CA",Weekly,2026-05
Final Touch,WFM,SP,Woodland Hills,"Moreno Valley, CA",Weekly,2026-05
